summoner,matchId,champion,gameTime,kills,deaths,assists,KDA_ratio,gold_earned,CS_total,CS_per_min,G_per_min,XP_per_min,Vision_total,Vision_per_min,Damage_to_Champions,Damage_per_min,Damage_Taken,Damage_per_Gold,Kill_Participation_%,CS_0_15,Gold_0_15,XP_0_15,CS_per_min_0_15,Gold_per_min_0_15,XP_per_min_0_15,LaneDiff_CS_0_15,LaneDiff_Gold_0_15,LaneDiff_XP_0_15,LaneDiff_CS_End,LaneDiff_Gold_End,LaneDiff_XP_End
Selene and Luna#KR1,KR_7812737525,Nidalee,28:00,5,4,8,3.25,11196,168,6.0,399.9,497.2,29,1.04,17014,607.6,34466,1.52,40.6,83,4530,5169,5.53,302.0,344.6,-6,-1063,-982,-5,-1038,481
Selene and Luna#KR1,KR_7812653758,Galio,32:41,8,7,14,3.14,14587,200,6.12,446.3,533.4,28,0.86,34145,1044.7,33577,2.341,53.7,92,4851,6797,6.13,323.4,453.1,4,-1311,-724,49,2214,3151
Selene and Luna#KR1,KR_7758208308,Orianna,33:02,8,5,12,4.0,14010,225,6.81,424.1,588.0,27,0.82,27161,822.2,21204,1.939,43.5,128,4452,7689,8.53,296.8,512.6,4,-1014,-278,-4,578,1749
Selene and Luna#KR1,KR_7735602261,Nidalee,28:54,8,3,15,7.67,13594,189,6.54,470.4,560.9,45,1.56,20404,706.0,34733,1.501,76.7,82,4980,5137,5.47,332.0,342.5,4,538,145,30,3696,4760
Selene and Luna#KR1,KR_7704356982,Nidalee,36:28,5,10,4,0.9,12918,215,5.9,354.2,450.2,51,1.4,15505,425.2,46692,1.2,33.3,87,4957,5748,5.8,330.5,383.2,-4,-150,-263,-10,-1917,-3514
Selene and Luna#KR1,KR_7697457057,Trundle,20:26,7,2,5,6.0,8992,115,5.63,440.1,456.3,20,0.98,6181,302.5,23823,0.687,37.5,92,5304,5769,6.13,353.6,384.6,2,-234,152,3,1776,1881
Selene and Luna#KR1,KR_7691634760,Ryze,36:24,6,6,13,3.17,15312,265,7.28,420.7,538.8,34,0.93,29985,823.8,34318,1.958,61.3,109,4481,6831,7.27,298.7,455.4,-5,-98,125,37,2481,1605
Selene and Luna#KR1,KR_7691616161,Viktor,28:01,0,5,4,0.8,8614,194,6.92,307.5,517.8,23,0.82,19204,685.4,22203,2.229,23.5,107,3815,6736,7.13,254.3,449.1,-9,-443,-650,-15,-2600,-1748
Selene and Luna#KR1,KR_7691606564,Azir,1:47,0,0,0,0.0,593,4,2.24,332.5,120.6,0,0.0,0,0.0,13,0.0,,4,93,215,0.27,6.2,14.3,4,77,215,4,77,215
Selene and Luna#KR1,KR_7687734704,Orianna,29:10,6,2,7,6.5,12794,226,7.75,438.7,559.2,22,0.75,23454,804.1,19523,1.833,46.4,127,6145,9275,8.47,409.7,618.3,6,1528,2028,-33,-1133,-2452
Selene and Luna#KR1,KR_7687655851,Ahri,18:38,3,2,2,2.5,6385,118,6.33,342.7,443.2,18,0.97,13002,697.8,11331,2.036,35.7,105,4966,7020,7.0,331.1,468.0,-12,135,108,-23,-281,-930
Selene and Luna#KR1,KR_7502566002,Azir,23:58,1,4,3,1.0,8333,178,7.43,347.7,487.6,16,0.67,11775,491.3,10444,1.413,40.0,103,4525,6915,6.87,301.7,461.0,-20,-1665,-806,-10,-2716,-326
Selene and Luna#KR1,KR_7502467982,Irelia,26:59,1,5,6,1.4,9800,229,8.49,363.2,497.9,15,0.56,19874,736.5,25708,2.028,36.8,131,4926,7562,8.73,328.4,504.1,22,465,565,27,218,-1823
Selene and Luna#KR1,KR_7498711057,Jayce,29:56,3,8,5,1.0,10195,179,5.98,340.6,479.3,21,0.7,16344,546.0,23322,1.603,30.8,114,3917,6724,7.6,261.1,448.3,-2,-2722,-1955,-6,-4045,-3967
Selene and Luna#KR1,KR_7392841907,Kassadin,39:58,10,7,14,3.43,16205,237,5.93,405.5,522.8,44,1.1,34585,865.3,51876,2.134,45.3,97,5216,7094,6.47,347.7,472.9,9,-416,-276,53,-667,2335
Selene and Luna#KR1,KR_7383173542,Azir,32:11,1,8,6,0.88,10550,242,7.52,327.8,450.6,17,0.53,20996,652.4,25130,1.99,31.8,115,4273,7109,7.67,284.9,473.9,11,-775,-10,34,-2859,-2715
Selene and Luna#KR1,KR_7369054479,Sylas,26:53,5,4,2,1.75,10103,192,7.14,375.8,482.6,23,0.86,14286,531.4,30006,1.414,46.7,102,5034,7000,6.8,335.6,466.7,7,543,361,-2,-1999,-1084
Selene and Luna#KR1,KR_7363808874,Sylas,39:35,12,8,7,2.38,16511,240,6.06,417.1,474.3,35,0.88,28545,721.1,46283,1.729,54.3,104,5762,7125,6.93,384.1,475.0,-7,2,161,-14,-1584,-1130
Selene and Luna#KR1,KR_7363779779,Sylas,28:36,8,4,11,4.75,12217,171,5.98,427.2,490.7,33,1.15,24180,845.5,33244,1.979,50.0,106,5883,6838,7.07,392.2,455.9,-3,740,242,-24,1839,2060
Selene and Luna#KR1,KR_7363645125,Orianna,40:10,13,8,18,3.88,19200,308,7.67,478.0,588.2,33,0.82,52370,1303.8,32116,2.728,66.0,112,5179,6906,7.47,345.3,460.4,4,-1621,-596,92,3450,6255
Selene and Luna#KR1,KR_7363620672,Ryze,28:14,4,4,5,2.25,10743,212,7.51,380.5,558.2,24,0.85,21025,744.7,30605,1.957,42.9,106,5141,7044,7.07,342.7,469.6,-4,-900,-1,13,-2658,801
Selene and Luna#KR1,KR_7363285383,Lissandra,29:23,7,3,15,7.33,14088,219,7.45,479.5,579.0,16,0.54,30387,1034.2,18067,2.157,51.2,128,5797,8009,8.53,386.5,533.9,3,574,176,16,3379,3345
Selene and Luna#KR1,KR_7363227443,Galio,24:16,4,5,3,1.4,8942,180,7.42,368.5,479.9,16,0.66,17934,739.0,26805,2.006,53.8,111,5242,6998,7.4,349.5,466.5,27,-272,330,27,-3054,-338
Selene and Luna#KR1,KR_7363164648,Sylas,21:17,0,3,1,0.33,6581,139,6.53,309.2,426.6,19,0.89,5812,273.1,15411,0.883,16.7,94,3797,6335,6.27,253.1,422.3,-35,-1790,-1534,-25,-2981,-2171
Selene and Luna#KR1,KR_7355607434,Ahri,23:44,2,5,5,1.4,7982,148,6.24,336.3,456.0,22,0.93,17646,743.5,14665,2.211,25.9,89,4099,6234,5.93,273.3,415.6,-17,-1843,-2763,-41,-3074,-3658
Selene and Luna#KR1,KR_7351579661,Lissandra,35:52,7,10,15,2.2,14356,245,6.83,400.3,505.5,30,0.84,37628,1049.1,31617,2.621,57.9,120,5944,8036,8.0,396.3,535.7,11,757,1020,66,342,1589
Selene and Luna#KR1,KR_7348970390,Orianna,30:33,4,4,10,3.5,12862,229,7.5,421.0,523.0,30,0.98,18418,602.9,17078,1.432,35.0,125,4900,7714,8.33,326.7,514.3,14,-164,787,59,3065,5002
Selene and Luna#KR1,KR_7348914346,Sylas,35:17,18,5,7,5.0,16766,198,5.61,475.2,571.3,47,1.33,42268,1198.0,45359,2.521,58.1,65,4810,6183,4.33,320.7,412.2,-42,-281,-944,-56,3166,2784
Selene and Luna#KR1,KR_7348888503,Ahri,15:12,0,4,1,0.25,4577,115,7.57,301.1,469.3,7,0.46,4617,303.8,8445,1.009,16.7,111,3988,6981,7.4,265.9,465.4,-18,-1841,-1458,-15,-1798,-1397
Selene and Luna#KR1,KR_7344043008,Lissandra,22:55,8,3,5,4.33,11693,172,7.51,510.2,562.5,23,1.0,16847,735.1,11942,1.441,50.0,109,5351,6920,7.27,356.7,461.3,40,997,559,73,4265,3720
Luna and Selene#KR1,KR_7815948865,JarvanIV,31:11,8,5,21,5.8,15355,186,5.96,492.4,601.8,22,0.71,20711,664.2,45622,1.349,78.4,86,4440,6495,5.73,296.0,433.0,-14,-1352,-242,-29,1195,3122
Luna and Selene#KR1,KR_7769128607,Yone,29:06,8,1,12,20.0,13957,255,8.76,479.6,656.0,28,0.96,33286,1143.8,27707,2.385,71.4,131,5009,8035,8.73,333.9,535.7,7,462,710,51,3704,6012
Luna and Selene#KR1,KR_7769061131,Sylas,29:16,6,7,8,2.0,11573,180,6.15,395.4,535.6,20,0.68,28688,980.2,33846,2.479,60.9,97,3902,6775,6.47,260.1,451.7,-13,-2174,-517,21,-1740,13
Luna and Selene#KR1,KR_7745655824,Elise,39:35,5,10,9,1.4,13004,202,5.1,328.5,427.0,42,1.06,13354,337.4,46141,1.027,34.1,82,4892,5165,5.47,326.1,344.3,-9,-1565,-495,-38,-7618,-4007
Luna and Selene#KR1,KR_7745570951,Nidalee,25:30,1,6,6,1.17,6966,107,4.2,273.2,376.7,25,0.98,10123,397.0,31354,1.453,46.7,67,3636,4707,4.47,242.4,313.8,-46,-2051,-1881,-75,-6359,-6027
Luna and Selene#KR1,KR_7745471554,Graves,30:04,15,5,10,5.0,15728,196,6.52,523.1,619.9,30,1.0,32310,1074.6,30967,2.054,61.0,87,5832,6048,5.8,388.8,403.2,-8,411,-214,31,4297,5682
Luna and Selene#KR1,KR_7697420117,Graves,28:05,10,1,5,15.0,15230,256,9.12,542.3,716.4,30,1.07,13542,482.2,18755,0.889,46.9,105,6028,7130,7.0,401.9,475.3,16,122,1169,118,5749,9317
Luna and Selene#KR1,KR_7684768030,Trundle,27:41,12,9,6,2.0,12354,135,4.88,446.3,455.9,25,0.9,23321,842.4,42507,1.888,78.3,86,5279,6053,5.73,351.9,403.5,-15,286,293,-41,-1013,-2617
Luna and Selene#KR1,KR_7676652401,KSante,31:11,2,3,2,1.33,10769,230,7.38,345.3,481.5,24,0.77,17188,551.2,35652,1.596,26.7,123,4726,7250,8.2,315.1,483.3,66,1556,705,120,2030,-637
Luna and Selene#KR1,KR_7676642073,Camille,5:27,0,1,0,0.0,1619,32,5.87,297.1,350.6,3,0.55,1465,268.8,2115,0.905,0.0,32,1119,1911,2.13,74.6,127.4,8,-21,-277,8,-21,-277
Luna and Selene#KR1,KR_7654351969,Kassadin,33:04,6,5,10,3.2,13293,228,6.9,402.0,537.9,39,1.18,27614,835.1,33700,2.077,80.0,102,4757,6888,6.8,317.1,459.2,-15,-317,-453,-11,66,-1294
Luna and Selene#KR1,KR_7589813447,Olaf,27:01,1,10,4,0.5,8903,191,7.07,329.5,474.0,17,0.63,16566,613.2,29971,1.861,20.0,113,4405,7085,7.53,293.7,472.3,5,-1019,-1190,-29,-2823,-3695
Luna and Selene#KR1,KR_7583094225,Kayle,25:35,8,3,6,4.67,12217,203,7.93,477.5,620.6,31,1.21,21274,831.6,14806,1.741,60.9,105,5110,7781,7.0,340.7,518.7,-1,471,88,13,2615,2921
Luna and Selene#KR1,KR_7555573299,Jayce,27:42,11,3,3,4.67,14087,234,8.45,508.6,577.5,26,0.94,22856,825.1,17107,1.622,42.4,130,7134,8460,8.67,475.6,564.0,28,3496,1968,69,6704,3858
Luna and Selene#KR1,KR_7555545083,XinZhao,31:09,5,10,7,1.2,11161,180,5.78,358.3,445.9,30,0.96,21640,694.7,40530,1.939,30.0,102,4929,6088,6.8,328.6,405.9,30,-550,-6,-3,-4123,-5749
Luna and Selene#KR1,KR_7537868256,Sejuani,30:25,11,4,13,6.0,14094,188,6.18,463.4,541.7,29,0.95,21002,690.5,39713,1.49,61.5,86,5488,5571,5.73,365.9,371.4,-3,217,139,24,3200,4494
Luna and Selene#KR1,KR_7537839902,Sylas,16:12,1,1,2,3.0,5273,120,7.41,325.5,488.0,12,0.74,6810,420.4,10507,1.291,42.9,112,4370,7420,7.47,291.3,494.7,-10,-461,-244,-11,-409,-180
Luna and Selene#KR1,KR_7537805826,Azir,23:30,5,2,2,3.5,8827,182,7.74,375.6,528.0,21,0.89,13192,561.4,13866,1.495,30.4,103,4808,7431,6.87,320.5,495.4,5,-429,831,5,-300,876
Luna and Selene#KR1,KR_7537774621,Galio,26:05,6,5,14,4.0,9432,138,5.29,361.6,517.0,16,0.61,14472,554.8,26583,1.534,60.6,81,4505,6817,5.4,300.3,454.5,-18,-600,-872,-37,567,1363
Luna and Selene#KR1,KR_7379509774,Leblanc,27:29,4,2,9,6.5,11363,175,6.37,413.5,496.2,30,1.09,21330,776.1,17411,1.877,44.8,109,4341,6504,7.27,289.4,433.6,11,31,-541,21,2551,1516
Luna and Selene#KR1,KR_7361657512,Leblanc,29:05,4,8,0,0.5,9801,203,6.98,337.0,448.6,23,0.79,15100,519.2,24925,1.541,30.8,110,4327,6413,7.33,288.5,427.5,6,-453,-1461,24,-3074,-3416
Luna and Selene#KR1,KR_7361517302,Irelia,26:38,5,4,1,1.5,10530,218,8.19,395.4,504.1,19,0.71,23054,865.6,28275,2.189,27.3,122,5486,7518,8.13,365.7,501.2,9,519,175,10,-1527,-2882
Luna and Selene#KR1,KR_7361144720,Sylas,27:33,3,7,4,1.0,10977,178,6.46,398.4,482.0,14,0.51,14202,515.5,25248,1.294,31.8,89,4021,6107,5.93,268.1,407.1,-15,-1814,-2034,-6,715,-126
Luna and Selene#KR1,KR_7357943701,Galio,36:17,6,5,17,4.6,13026,206,5.68,359.0,496.3,28,0.77,36551,1007.4,32925,2.806,63.9,99,4498,6580,6.6,299.9,438.7,20,-697,-123,18,132,760
Luna and Selene#KR1,KR_7357752398,Irelia,27:11,6,3,3,3.0,12518,236,8.68,460.5,548.0,24,0.88,19075,701.7,27187,1.524,25.7,121,6061,7569,8.07,404.1,504.6,49,2272,1030,79,3673,1890
Luna and Selene#KR1,KR_7280548707,Orianna,31:02,4,4,14,4.5,11745,211,6.8,378.5,511.8,28,0.9,18208,586.7,18809,1.55,47.4,107,3978,6600,7.13,265.2,440.0,36,611,757,86,4355,5122
Luna and Selene#KR1,KR_7280484105,Azir,23:12,4,2,0,2.0,9188,181,7.8,396.0,505.1,24,1.03,18421,794.0,14461,2.005,50.0,119,5046,8006,7.93,336.4,533.7,-6,855,771,-17,456,-472
Luna and Selene#KR1,KR_7280384413,Tristana,37:22,3,5,3,1.2,12758,219,5.86,341.4,425.4,44,1.18,21490,575.1,30030,1.684,22.2,109,5617,7206,7.27,374.5,480.4,16,1450,-128,18,982,-4400
